
time,Latitude,Longitude,,
12:33:17:605,45.42401456,11.94817909,
12:33:18:607,45.42401167,11.94817657,
12:33:19:606,45.42400711,11.94817366,
12:33:20:616,45.42400141,11.94816871,
12:33:21:609,45.4239918,11.9481634,
12:33:22:609,45.42398149,11.948159,
12:33:23:612,45.4239708,11.94815356,
12:33:24:619,45.42396,11.94814911,
12:33:25:615,45.42395055,11.94814794,
12:33:26:606,45.42394409,11.94813737,
12:33:27:613,45.42393499,11.94814031,
12:33:28:604,45.42392622,11.94814592,
